t,s,a,r,s_next
0,0,1,1.1100936677182254,1
1,1,0,0.0,0
2,0,1,1.6355906744878541,0
3,0,0,0.0,1
4,1,1,0.4331930613935467,1
5,1,1,-0.07569135280023036,2
6,2,0,0.0,1
7,1,0,0.0,1
8,1,1,0.5376283145921438,2
9,2,0,0.0,2
10,2,0,0.0,1
11,1,1,0.8130546669773631,2
12,2,0,0.0,1
13,1,1,0.39613376791750043,2
14,2,0,0.0,1
15,1,1,0.17598422716171885,1
16,1,1,0.9642651194905042,2
17,2,0,0.0,0
18,0,1,0.850055860780908,1
19,1,0,0.0,0
20,0,0,0.0,0
21,0,0,0.0,0
22,0,0,0.0,0
23,0,0,0.0,0
24,0,1,1.0916608090361906,0
25,0,0,0.0,0
26,0,0,0.0,0
27,0,1,0.43856919088877033,1
28,1,0,0.0,0
29,0,0,0.0,0
30,0,0,0.0,0
31,0,0,0.0,0
32,0,1,0.8999172923183187,1
33,1,1,0.0735879619916851,2
34,2,1,-0.01192125271988544,2
35,2,1,-0.32569598981656955,2
36,2,1,-0.7318390853772261,2
37,2,1,-0.5207881608743553,2
38,2,0,0.0,1
39,1,1,0.05122961701011501,1
40,1,0,0.0,1
41,1,1,0.5137178245316073,1
42,1,0,0.0,0
43,0,0,0.0,0
44,0,0,0.0,0
45,0,0,0.0,0
46,0,1,0.6282298363420786,0
47,0,0,0.0,0
48,0,0,0.0,0
49,0,1,0.8498023976431953,0
50,0,1,1.0327261583793983,1
51,1,0,0.0,0
52,0,1,0.6652458831526499,1
53,1,1,0.009374073014085434,1
54,1,1,0.7125448635667384,1
55,1,1,0.6740446103056114,1
56,1,0,0.0,0
57,0,1,1.0974977886770607,1
58,1,0,0.0,1
59,1,1,1.1073816418171782,2
60,2,0,0.0,1
61,1,0,0.0,0
62,0,0,0.0,0
63,0,1,0.7422884549912555,0
64,0,1,0.7892186721616087,0
65,0,0,0.0,0
66,0,0,0.0,0
67,0,0,0.0,0
68,0,1,0.9516712147450574,2
69,2,1,-0.6944631561185116,2
70,2,0,0.0,1
71,1,0,0.0,1
72,1,0,0.0,0
73,0,1,1.0878152293468497,0
74,0,1,0.723427923759636,1
75,1,1,0.5239209444585674,1
76,1,1,0.7897726397810738,2
77,2,1,0.11310222871835414,2
78,2,1,-0.5034559669555931,2
79,2,1,-0.6181030741811023,2
80,2,0,0.0,1
81,1,1,-0.0803011032904333,2
82,2,0,0.0,1
83,1,1,-0.028977785297051244,2
84,2,1,-0.9541265203756886,2
85,2,1,-0.20596641813384997,2
86,2,0,0.0,1
87,1,0,0.0,1
88,1,0,0.0,0
89,0,1,1.1861657664488197,0
90,0,0,0.0,0
91,0,0,0.0,0
92,0,1,1.1660180136454685,1
93,1,1,0.5446013978897868,2
94,2,1,-0.31578229674674246,2
95,2,0,0.0,2
96,2,0,0.0,0
97,0,1,1.2959516580180475,1
98,1,0,0.0,1
99,1,1,0.5025118155981486,2
